full_id,species,n,acclimation,Initial-mass,Days-fourth-Instar,DR-fourth-instar,Mass-fourth-instar,Mass-gain-fourth-instar,GR-fourth-instar,Days-fifth-Instar,DR-fifth-instar,Mass-fifth-instar,Mass-gain-fifth-instar,GR-fifth-instar,Days-last-Instar,DR-last-instar,Mass-last-instar,Mass-gain-last-instar,GR-last-instar,Days-imago-maturity,DR-imago,Mass-imago,Mass-gain-imago,GR-imago
AXG-BG-5,AXG,5,10,0.07,41,0.024390243902439,0.15,0.08,0.00195121951219512,49,0.0204081632653061,0.386,0.236,0.00481632653061225,42,0.0238095238095238,0.798,0.412,0.00980952380952381,52,0.0192307692307692,1.781,0.983,0.0189038461538462
AXG-BG-6,AXG,6,10,0.063,28,0.0357142857142857,0.095,0.032,0.00114285714285714,48,0.0208333333333333,0.212,0.117,0.0024375,49,0.0204081632653061,0.65,0.438,0.00893877551020408,49,0.0204081632653061,1.503,0.853,0.0174081632653061
AXG-BG-11,AXG,11,10,0.08,42,0.0238095238095238,0.152,0.072,0.00171428571428571,55,0.0181818181818182,0.304,0.152,0.00276363636363636,63,0.0158730158730159,0.746,0.442,0.00701587301587302,67,0.0149253731343284,1.741,0.995,0.0148507462686567
AXG-BG-10,AXG,10,20,0.063,14,0.0714285714285714,0.118,0.055,0.00392857142857143,14,0.0714285714285714,0.279,0.161,0.0115,21,0.0476190476190476,0.465,0.186,0.00885714285714286,20,0.05,1.281,0.816,0.0408
AXG-BG-4,AXG,4,20,0.063,14,0.0714285714285714,0.89,0.827,0.0590714285714286,21,0.0476190476190476,0.302,-0.588,-0.028,21,0.0476190476190476,0.586,0.284,0.0135238095238095,27,0.037037037037037,1.292,0.706,0.0261481481481482
AXG-BG-3,AXG,3,20,0.064,14,0.0714285714285714,0.083,0.019,0.00135714285714286,21,0.0476190476190476,0.337,0.254,0.0120952380952381,14,0.0714285714285714,0.633,0.296,0.0211428571428571,21,0.0476190476190476,1.255,0.622,0.0296190476190476
AXG-BG-20,AXG,20,20,0.078,7,0.142857142857143,0.128,0.05,0.00714285714285714,14,0.0714285714285714,0.213,0.085,0.00607142857142857,14,0.0714285714285714,0.419,0.206,0.0147142857142857,20,0.05,1.429,1.01,0.0505
AXG-BG-27,AXG,27,20,0.075,11,0.0909090909090909,0.11,0.035,0.00318181818181818,9,0.111111111111111,0.159,0.049,0.00544444444444444,22,0.0454545454545455,0.496,0.337,0.0153181818181818,21,0.0476190476190476,1.371,0.875,0.0416666666666667
AXG-BG-31,AXG,31,20,0.087,7,0.142857142857143,0.115,0.028,0.004,20,0.05,0.257,0.142,0.0071,22,0.0454545454545455,0.636,0.379,0.0172272727272727,21,0.0476190476190476,1.43,0.794,0.0378095238095238
AXG-BG-33,AXG,33,20,0.083,14,0.0714285714285714,0.183,0.1,0.00714285714285714,13,0.0769230769230769,0.352,0.169,0.013,15,0.0666666666666667,0.546,0.194,0.0129333333333333,28,0.0357142857142857,1.46,0.914,0.0326428571428571
AXG-BG-21,AXG,21,10,0.078,14,0.0714285714285714,0.107,0.029,0.00207142857142857,41,0.024390243902439,0.234,0.127,0.00309756097560976,43,0.0232558139534884,0.531,0.297,0.00690697674418605,50,0.02,1.486,0.955,0.0191
AXG-BG-28,AXG,28,10,0.078,14,0.0714285714285714,0.13,0.052,0.00371428571428571,63,0.0158730158730159,0.386,0.256,0.00406349206349206,56,0.0178571428571429,0.882,0.496,0.00885714285714286,57,0.0175438596491228,1.838,0.956,0.0167719298245614
AXG-BG-30,AXG,30,10,0.079,21,0.0476190476190476,0.102,0.023,0.00109523809523809,35,0.0285714285714286,0.22,0.118,0.00337142857142857,56,0.0178571428571429,0.643,0.423,0.00755357142857143,70,0.0142857142857143,1.634,0.991,0.0141571428571429
AXG-BG-32,AXG,32,10,0.075,30,0.0333333333333333,0.154,0.079,0.00263333333333333,40,0.025,0.379,0.225,0.005625,63,0.0158730158730159,0.85,0.471,0.00747619047619048,65,0.0153846153846154,1.901,1.051,0.0161692307692308
AXG-BG-34,AXG,34,10,0.078,14,0.0714285714285714,0.112,0.034,0.00242857142857143,63,0.0158730158730159,0.279,0.167,0.00265079365079365,57,0.0175438596491228,0.646,0.367,0.00643859649122807,62,0.0161290322580645,1.515,0.869,0.0140161290322581
CLH-BG-1,CLH,1,10,0.073,35,0.0285714285714286,0.161,0.088,0.00251428571428571,41,0.024390243902439,0.335,0.174,0.00424390243902439,43,0.0232558139534884,0.707,0.372,0.00865116279069767,47,0.0212765957446809,1.428,0.721,0.0153404255319149
CLH-BG-15,CLH,15,10,0.063,42,0.0238095238095238,0.137,0.074,0.00176190476190476,48,0.0208333333333333,0.264,0.127,0.00264583333333333,48,0.0208333333333333,0.66,0.396,0.00825,63,0.0158730158730159,1.178,0.518,0.00822222222222222
CLH-BG-23,CLH,23,10,0.061,41,0.024390243902439,0.133,0.072,0.00175609756097561,49,0.0204081632653061,0.297,0.164,0.0033469387755102,48,0.0208333333333333,0.512,0.215,0.00447916666666667,56,0.0178571428571429,0.985,0.473,0.00844642857142857
