full_id,species,stage,population,n,test_temp,food_plant,weight,date,days_week,days_cumulative,days_instar,week,instar,,
CLH-BG-1,CLH,N,BG,1,10,RU,0.073,2/10/2019,0,0,0,0,4,,
CLH-BG-1,CLH,N,BG,1,10,RU,0.101,9/10/2019,7,7,7,1,4,,
CLH-BG-1,CLH,N,BG,1,10,RU,0.115,16/10/2019,7,14,14,2,4,,
CLH-BG-1,CLH,N,BG,1,10,RU,0.142,23/10/2019,7,21,21,3,4,,
CLH-BG-1,CLH,N,BG,1,10,RU,0.163,30/10/2019,7,28,28,4,4,,
CLH-BG-1,CLH,N,BG,1,10,RU,0.161,6/11/2019,7,35,35,5,4,,
CLH-BG-1,CLH,N,BG,1,10,RU,0.188,13/11/2019,7,42,0,6,5,,
CLH-BG-1,CLH,N,BG,1,10,RU,0.228,20/11/2019,7,49,7,7,5,,
CLH-BG-1,CLH,N,BG,1,10,RU,0.233,27/11/2019,6,55,13,8,5,,
CLH-BG-1,CLH,N,BG,1,10,RU,0.248,3/12/2019,7,62,20,9,5,,
CLH-BG-1,CLH,N,BG,1,10,RU,0.293,10/12/2019,7,69,27,10,5,,
CLH-BG-1,CLH,N,BG,1,10,RU,0.335,17/12/2019,7,76,34,11,5,,
CLH-BG-1,CLH,N,BG,1,10,RU,0.312,24/12/2019,8,84,0,12,6,,
CLH-BG-1,CLH,N,BG,1,10,RU,0.344,1/01/2020,6,90,6,13,6,,
CLH-BG-1,CLH,N,BG,1,10,RU,0.515,7/01/2020,7,97,13,14,6,,
CLH-BG-1,CLH,N,BG,1,10,RU,0.521,14/01/2020,7,104,20,15,6,,
CLH-BG-1,CLH,N,BG,1,10,RU,0.671,21/01/2020,7,111,27,16,6,,
CLH-BG-1,CLH,N,BG,1,10,RU,0.707,28/01/2020,8,119,35,17,6,,
CLH-BG-1,CLH,A,BG,1,10,RU,0.810,5/02/2020,7,126,0,18,7,,
CLH-BG-1,CLH,A,BG,1,10,RU,0.918,12/02/2020,5,131,5,19,7,,
CLH-BG-1,CLH,A,BG,1,10,RU,1.104,17/02/2020,7,138,12,20,7,,
CLH-BG-1,CLH,A,BG,1,10,RU,1.174,24/02/2020,6,144,18,21,7,,
CLH-BG-1,CLH,A,BG,1,10,RU,1.229,3/03/2020,8,152,26,22,7,,
CLH-BG-1,CLH,A,BG,1,10,RU,1.306,10/03/2020,7,159,33,23,7,,
CLH-BG-1,CLH,A,BG,1,10,RU,1.428,17/03/2020,7,166,40,24,7,,
CLH-BG-15,CLH,N,BG,15,10,RU,0.063,2/10/2019,0,0,0,0,4,,
CLH-BG-15,CLH,N,BG,15,10,RU,0.068,9/10/2019,7,7,7,1,4,,
CLH-BG-15,CLH,N,BG,15,10,RU,0.086,16/10/2019,7,14,14,2,4,,
CLH-BG-15,CLH,N,BG,15,10,RU,0.099,23/10/2019,7,21,21,3,4,,
CLH-BG-15,CLH,N,BG,15,10,RU,0.109,30/10/2019,7,28,28,4,4,,
CLH-BG-15,CLH,N,BG,15,10,RU,0.120,6/11/2019,7,35,35,5,4,,
CLH-BG-15,CLH,N,BG,15,10,RU,0.137,13/11/2019,7,42,42,6,4,,
CLH-BG-15,CLH,N,BG,15,10,RU,0.136,20/11/2019,7,49,0,7,5,,
CLH-BG-15,CLH,N,BG,15,10,RU,0.130,27/11/2019,6,55,6,8,5,,
CLH-BG-15,CLH,N,BG,15,10,RU,0.170,3/12/2019,7,62,13,9,5,,
CLH-BG-15,CLH,N,BG,15,10,RU,0.193,10/12/2019,7,69,20,10,5,,
CLH-BG-15,CLH,N,BG,15,10,RU,0.224,17/12/2019,7,76,27,11,5,,
CLH-BG-15,CLH,N,BG,15,10,RU,0.233,24/12/2019,8,84,35,12,5,,
CLH-BG-15,CLH,N,BG,15,10,RU,0.264,1/01/2020,6,90,41,13,5,,
CLH-BG-15,CLH,N,BG,15,10,RU,0.310,7/01/2020,7,97,0,14,6,,
CLH-BG-15,CLH,N,BG,15,10,RU,0.300,14/01/2020,7,104,7,15,6,,
CLH-BG-15,CLH,N,BG,15,10,RU,0.413,21/01/2020,7,111,14,16,6,,
CLH-BG-15,CLH,N,BG,15,10,RU,0.462,28/01/2020,8,119,22,17,6,,
CLH-BG-15,CLH,N,BG,15,10,RU,0.553,5/02/2020,7,126,29,18,6,,
CLH-BG-15,CLH,N,BG,15,10,RU,0.573,12/02/2020,5,131,34,19,6,,
CLH-BG-15,CLH,N,BG,15,10,RU,0.660,17/02/2020,7,138,41,20,6,,
CLH-BG-15,CLH,A,BG,15,10,RU,0.571,24/02/2020,6,144,0,21,7,,
CLH-BG-15,CLH,A,BG,15,10,RU,0.638,3/03/2020,8,152,8,22,7,,
CLH-BG-15,CLH,A,BG,15,10,RU,0.638,10/03/2020,7,159,15,23,7,,
CLH-BG-15,CLH,A,BG,15,10,RU,0.717,17/03/2020,7,166,22,24,7,,
CLH-BG-15,CLH,A,BG,15,10,RU,0.919,24/03/2020,7,173,29,25,7,,
CLH-BG-15,CLH,A,BG,15,10,RU,0.952,31/03/2020,7,180,36,26,7,,
CLH-BG-15,CLH,A,BG,15,10,RU,1.026,7/04/2020,7,187,43,27,7,,
CLH-BG-15,CLH,A,BG,15,10,RU,1.117,14/04/2020,7,194,50,28,7,,
CLH-BG-15,CLH,A,BG,15,10,RU,1.178,21/04/2020,7,201,57,29,7,,
CLH-BG-23,CLH,N,BG,23,10,RU,0.061,16/10/2019,0,0,0,0,4,,
CLH-BG-23,CLH,N,BG,23,10,RU,0.064,23/10/2019,7,7,7,1,4,,
CLH-BG-23,CLH,N,BG,23,10,RU,0.098,30/10/2019,7,14,14,2,4,,
CLH-BG-23,CLH,N,BG,23,10,RU,0.116,6/11/2019,7,21,21,3,4,,
CLH-BG-23,CLH,N,BG,23,10,RU,0.118,13/11/2019,7,28,28,4,4,,
CLH-BG-23,CLH,N,BG,23,10,RU,0.126,20/11/2019,7,35,35,5,4,,
CLH-BG-23,CLH,N,BG,23,10,RU,0.133,27/11/2019,6,41,41,6,4,,
CLH-BG-23,CLH,N,BG,23,10,RU,0.139,3/12/2019,7,48,0,7,5,,
CLH-BG-23,CLH,N,BG,23,10,RU,0.151,10/12/2019,7,55,7,8,5,,
CLH-BG-23,CLH,N,BG,23,10,RU,0.125,17/12/2019,7,62,14,9,5,,
CLH-BG-23,CLH,N,BG,23,10,RU,0.201,24/12/2019,8,70,22,10,5,,
CLH-BG-23,CLH,N,BG,23,10,RU,0.231,1/01/2020,6,76,28,11,5,,
CLH-BG-23,CLH,N,BG,23,10,RU,0.254,7/01/2020,7,83,35,12,5,,
CLH-BG-23,CLH,N,BG,23,10,RU,0.297,14/01/2020,7,90,42,13,5,,
CLH-BG-23,CLH,N,BG,23,10,RU,0.264,21/01/2020,7,97,0,14,6,,
CLH-BG-23,CLH,N,BG,23,10,RU,0.346,28/01/2020,8,105,8,15,6,,
CLH-BG-23,CLH,N,BG,23,10,RU,0.444,5/02/2020,7,112,15,16,6,,
CLH-BG-23,CLH,N,BG,23,10,RU,0.465,12/02/2020,5,117,20,17,6,,
CLH-BG-23,CLH,N,BG,23,10,RU,0.493,17/02/2020,7,124,27,18,6,,
CLH-BG-23,CLH,N,BG,23,10,RU,0.501,24/02/2020,6,130,33,19,6,,
CLH-BG-23,CLH,N,BG,23,10,RU,0.512,3/03/2020,8,138,41,20,6,,
CLH-BG-23,CLH,A,BG,23,10,RU,0.477,10/03/2020,7,145,0,21,7,,
CLH-BG-23,CLH,A,BG,23,10,RU,0.498,17/03/2020,7,152,7,22,7,,
CLH-BG-23,CLH,A,BG,23,10,RU,0.586,24/03/2020,7,159,14,23,7,,
CLH-BG-23,CLH,A,BG,23,10,RU,0.680,31/03/2020,7,166,21,24,7,,
CLH-BG-23,CLH,A,BG,23,10,RU,0.760,7/04/2020,7,173,28,25,7,,
CLH-BG-23,CLH,A,BG,23,10,RU,0.854,14/04/2020,7,180,35,26,7,,
CLH-BG-23,CLH,A,BG,23,10,RU,0.892,21/04/2020,7,187,42,27,7,,
CLH-BG-23,CLH,A,BG,23,10,RU,0.985,28/04/2020,7,194,49,28,7,,
CLH-BG-31,CLH,N,BG,31,10,RU,0.078,16/10/2019,0,0,0,0,4,,
CLH-BG-31,CLH,N,BG,31,10,RU,0.085,23/10/2019,7,7,7,1,4,,
CLH-BG-31,CLH,N,BG,31,10,RU,0.090,30/10/2019,7,14,14,2,4,,
CLH-BG-31,CLH,N,BG,31,10,RU,0.097,6/11/2019,7,21,21,3,4,,
CLH-BG-31,CLH,N,BG,31,10,RU,0.103,13/11/2019,7,28,28,4,4,,
CLH-BG-31,CLH,N,BG,31,10,RU,0.115,20/11/2019,7,35,35,5,4,,
CLH-BG-31,CLH,N,BG,31,10,RU,0.117,27/11/2019,6,41,41,6,4,,
CLH-BG-31,CLH,N,BG,31,10,RU,0.105,3/12/2019,7,48,0,7,5,,
CLH-BG-31,CLH,N,BG,31,10,RU,0.144,10/12/2019,7,55,7,8,5,,
CLH-BG-31,CLH,N,BG,31,10,RU,0.189,17/12/2019,7,62,14,9,5,,
CLH-BG-31,CLH,N,BG,31,10,RU,0.187,24/12/2019,8,70,22,10,5,,
